      Lon     Lat Rayleigh Uncert m/s
                     8.00    8.00   10.00   10.00   12.00   12.00   14.00   14.00   16.00   16.00   18.00   18.00   20.00   20.00   22.00   22.00   24.00   24.00   28.00   28.00   32.00   32.00   36.00   36.00   40.00   40.00   50.00   50.00   60.00   60.00   70.00   70.00   80.00   80.00  100.00  100.00  125.00  125.00  150.00  150.00
    -3.00   -8.00 3133.50   16.60 3175.50   10.00 3197.90   10.00 3211.00   10.00 3233.40   10.00 3260.20   10.00 3293.30   10.00 3328.70   10.00 3370.40   10.00 3466.80   14.30 3543.70   11.40 3615.50   10.00 3664.40   13.00 3764.10   12.40 3825.00   13.80 3888.30   18.20 3927.80   21.30 4034.50   31.40 4173.20   44.60 4276.30   60.10
    -2.00   -8.00 3186.90   11.40 3232.60   10.00 3257.80   10.00 3293.00   10.00 3320.50   10.00 3351.50   10.00 3384.80   10.00 3419.40   10.00 3460.90   10.00 3548.40   14.20 3623.10   11.10 3700.60   10.00 3756.70   13.20 3840.20   12.80 3883.50   13.60 3922.80   17.60 3956.20   19.70 4018.70   31.00 4119.70   43.90 4252.70   60.00
    -1.00   -8.00 2994.30   10.00 3098.10   10.00 3165.10   10.00 3230.50   10.00 3281.10   10.00 3336.90   10.00 3398.10   10.00 3461.90   10.00 3525.30   10.00 3635.10   12.60 3719.50   11.50 3786.20   10.00 3842.10   10.00 3904.40   11.80 3971.70   14.40 3981.20   18.80 4003.70   21.50 4045.10   31.30 4122.00   44.10 4238.40   59.80
     0.00   -8.00 3019.30   10.00 3117.90   10.00 3182.80   10.00 3248.30   10.00 3316.60   10.00 3381.80   10.00 3447.90   10.00 3512.10   10.00 3576.30   10.00 3686.20   17.00 3776.70   15.20 3837.00   13.70 3901.70   14.60 3970.10   15.80 4045.70   17.40 4063.20   22.10 4073.70   24.60 4077.10   31.70 4153.40   44.60 4278.40   59.80
     1.00   -8.00 3073.50   10.00 3166.30   10.00 3238.80   10.00 3289.30   10.00 3354.80   10.00 3415.10   10.00 3480.60   10.00 3540.30   10.00 3598.70   10.00 3726.40   17.20 3803.90   16.40 3879.40   15.70 3943.20   16.80 4011.80   17.20 4050.80   23.00 4039.50   24.90 4057.20   30.10 4095.50   32.60 4156.30   45.00 4289.40   60.10
     2.00   -8.00 3122.50   10.00 3189.10   10.00 3254.30   10.00 3317.90   10.00 3382.90   10.00 3441.50   10.00 3505.20   10.00 3564.80   10.00 3627.90   10.00 3726.70   16.40 3842.00   11.90 3909.80   13.30 3967.60   14.00 4040.40   15.00 4085.20   20.20 4063.90   24.40 4100.60   27.40 4115.60   34.00 4170.60   46.10 4276.30   61.10
     3.00   -8.00 3180.10   10.00 3237.50   10.00 3292.00   10.00 3334.50   10.00 3384.20   10.00 3435.00   10.00 3492.30   10.00 3553.90   10.00 3616.20   10.00 3720.70   17.00 3811.70   14.90 3891.60   14.80 3948.30   16.40 3997.00   19.40 4029.00   18.80 4048.40   26.10 4096.10   28.60 4116.60   36.90 4219.30   48.20 4331.50   62.60
   -10.00   -7.00 3127.60   10.00 3176.30   10.00 3225.30   10.00 3288.10   10.00 3357.50   10.00 3416.40   10.00 3471.90   10.00 3517.20   10.00 3555.10   10.00 3603.70   14.10 3648.10   11.70 3666.50   11.80 3677.80   11.20 3723.90   11.20 3743.30   15.00 3779.90   20.40 3806.60   23.20 3936.80   38.30 4073.30   51.30 4194.70   66.30
    -9.00   -7.00 3009.90   10.00 3089.60   10.00 3154.80   10.00 3207.70   10.00 3265.30   10.00 3326.10   10.00 3386.70   10.00 3444.50   10.00 3481.90   10.00 3533.30   18.20 3602.10   12.60 3633.30   12.70 3675.40   14.40 3718.00   15.20 3743.70   16.60 3819.50   22.60 3854.40   24.30 3933.40   35.40 4055.00   48.40 4220.90   64.00
    -8.00   -7.00 3016.30   10.00 3092.20   10.00 3134.50   10.00 3179.10   10.00 3225.30   10.00 3278.50   10.00 3333.00   10.00 3383.70   10.00 3432.00   10.00 3505.60   16.20 3589.30   10.70 3641.20   10.40 3674.60   10.40 3736.70   12.60 3778.80   15.40 3846.60   20.00 3885.10   21.50 3996.10   33.70 4073.70   46.80 4209.60   62.20
    -7.00   -7.00 3072.10   10.80 3142.60   10.00 3205.80   10.00 3252.70   10.00 3300.50   10.00 3351.90   10.00 3397.30   10.00 3449.60   10.00 3502.30   10.00 3593.90   17.40 3686.40   12.20 3758.60   12.50 3801.90   10.00 3856.00   14.60 3913.90   15.80 3956.60   19.80 3980.00   22.10 4005.20   32.60 4105.80   46.30 4223.40   61.80
    -6.00   -7.00 3074.40   10.00 3161.60   10.00 3224.80   10.00 3273.50   10.00 3319.40   10.00 3363.70   10.00 3421.90   10.00 3476.60   10.00 3532.10   10.00 3644.70   11.80 3713.80   11.10 3776.70   11.80 3817.10   12.20 3918.80   12.20 3953.50   15.20 3995.40   20.90 4020.20   21.80 4053.70   31.90 4166.40   45.10 4256.10   60.80
    -5.00   -7.00 3072.50   16.40 3162.80   10.20 3219.10   10.00 3272.00   10.00 3319.40   10.00 3365.90   10.00 3413.90   10.00 3457.10   10.00 3494.20   10.00 3581.00   13.10 3666.90   12.00 3739.70   11.70 3817.30   11.00 3910.70   15.20 3933.60   17.80 3967.40   21.50 3992.40   22.20 4033.30   31.80 4163.30   45.20 4266.30   61.80
    -4.00   -7.00 2987.00   12.00 3070.10   10.00 3120.80   10.00 3153.20   10.00 3186.00   10.00 3221.40   10.00 3261.40   10.00 3304.40   10.00 3352.30   10.00 3447.50   10.20 3532.80   10.00 3608.00   10.00 3668.90   11.20 3770.40   11.80 3817.80   11.80 3880.90   18.50 3931.00   19.30 4033.40   31.30 4136.30   45.00 4271.70   60.90
    -3.00   -7.00 3115.50   12.20 3147.60   10.00 3151.80   10.00 3174.30   10.00 3193.00   10.00 3223.00   10.00 3257.70   10.00 3305.10   10.00 3355.30   10.00 3439.50   15.30 3543.10   10.40 3601.90   10.50 3672.00   10.60 3765.80   12.40 3841.10   12.20 3885.70   18.50 3927.30   21.10 3992.70   31.10 4126.20   44.30 4267.60   60.00
    -2.00   -7.00 3153.90   11.60 3184.40   10.00 3205.90   10.00 3218.10   10.00 3249.20   10.00 3279.50   10.00 3319.50   10.00 3354.20   10.00 3395.50   10.00 3478.50   15.80 3585.70   13.10 3667.30   13.10 3752.50   12.80 3844.70   13.60 3885.60   19.00 3927.20   20.00 3956.20   23.20 4025.80   30.70 4122.20   43.60 4255.80   59.80
    -1.00   -7.00 2915.90   10.00 3010.30   10.00 3090.40   10.00 3167.00   10.00 3230.20   10.00 3290.80   10.00 3350.70   10.00 3414.80   10.00 3474.00   10.00 3589.60   12.30 3687.80   10.70 3752.70   10.30 3813.20   10.80 3890.10   13.80 3942.30   13.80 3954.20   18.00 3981.80   20.10 4035.30   30.80 4126.60   44.00 4241.90   59.60
     0.00   -7.00 3004.30   10.00 3108.20   10.00 3182.20   10.00 3244.10   10.00 3308.20   10.00 3373.90   10.00 3437.70   10.00 3500.30   10.00 3561.20   10.00 3677.40   16.30 3761.60   13.40 3825.30   13.10 3875.00   10.60 3950.00   14.40 3991.30   13.80 4003.30   20.80 4034.60   22.00 4061.10   31.60 4135.50   44.30 4258.00   59.60
     1.00   -7.00 3125.40   10.00 3192.10   10.00 3249.80   10.00 3306.00   10.00 3353.00   10.00 3407.10   10.00 3468.90   10.00 3531.30   10.00 3594.10   10.00 3711.50   16.60 3806.00   14.30 3867.20   15.30 3911.90   15.20 3962.70   17.20 4004.40   18.20 4024.70   22.60 4050.10   27.00 4083.00   32.10 4150.80   44.70 4249.10   60.30
