Lon Lat Tbuf Tinterm Tbottom 1 Al_L Fe_L Mg_L Ca_L #Mg_L LAB Al_SL Fe_SL Mg_SL Ca_SL #Mg_SL
deg deg degC degC degC 1 wt% wt% wt% wt% 1 km wt% wt% wt% wt% 1
-2.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.661 300.00 4.400 9.200 55.000 5.500 94.661
-1.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.716 300.00 4.400 9.200 55.000 5.500 93.716
0.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.105 300.00 4.400 9.200 55.000 5.500 94.105
1.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.639 300.00 4.400 9.200 55.000 5.500 93.639
2.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.511 300.00 4.400 9.200 55.000 5.500 93.511
3.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 92.777 300.00 4.400 9.200 55.000 5.500 92.777
-10.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 95.082 300.00 4.400 9.200 55.000 5.500 95.082
-9.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.648 300.00 4.400 9.200 55.000 5.500 94.648
-8.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.203 300.00 4.400 9.200 55.000 5.500 94.203
-7.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.031 300.00 4.400 9.200 55.000 5.500 94.031
-6.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.914 300.00 4.400 9.200 55.000 5.500 93.914
-5.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.907 300.00 4.400 9.200 55.000 5.500 93.907
-4.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.804 300.00 4.400 9.200 55.000 5.500 93.804
-3.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.868 300.00 4.400 9.200 55.000 5.500 93.868
-2.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.570 300.00 4.400 9.200 55.000 5.500 94.570
-1.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.921 300.00 4.400 9.200 55.000 5.500 93.921
0.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.942 300.00 4.400 9.200 55.000 5.500 93.942
1.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.095 300.00 4.400 9.200 55.000 5.500 94.095
2.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.343 300.00 4.400 9.200 55.000 5.500 93.343
3.00 -1.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.101 300.00 4.400 9.200 55.000 5.500 94.101
