      Lon      Lat     thick1        Vs1        Vp1      Dens1       RHP1     thick2        Vs2        Vp2      Dens2       RHP2     thick3        Vs3        Vp3      Dens3       RHP3
      deg      deg          m        m/s        m/s      kg/m3      uW/m3          m        m/s        m/s      kg/m3      uW/m3          m        m/s        m/s      kg/m3      uW/m3
    -4.00    -2.00     698.00    2112.00    3659.00    2325.00       1.00   22283.00    3426.00    5714.00    2699.00       1.00   20488.06    3781.00    7148.00    3070.00       0.50
    -3.00    -2.00     405.00    1876.00    3308.00    2262.00       1.00   18059.00    3345.00    5531.00    2707.00       1.00   20985.11    3730.00    6921.00    2996.00       0.50
    -2.00    -2.00     564.00    2271.00    3949.00    2374.00       1.00   21352.00    3612.00    5980.00    2811.00       1.00   22865.58    3749.00    6856.00    2973.00       0.50
    -1.00    -2.00    2325.00    2236.00    4670.00    2499.00       1.00   20358.00    3653.00    6089.00    2767.00       1.00   25413.07    3893.00    6858.00    2959.00       0.50
     0.00    -2.00    2939.00    2216.00    4362.00    2446.00       1.00   18459.00    3633.00    6017.00    2751.00       1.00   28377.94    3948.00    7052.00    3014.00       0.50
     1.00    -2.00    3011.00    2175.00    3922.00    2370.00       1.00   23236.00    3695.00    6142.00    2776.00       1.00   21052.06    4038.00    6995.00    2992.00       0.50
     2.00    -2.00    2805.00    2053.00    4470.00    2465.00       1.00   20314.00    3628.00    6080.00    2763.00       1.00   24181.22    3892.00    7195.00    3059.00       0.50
     3.00    -2.00    2555.00    2087.00    4382.00    2450.00       1.00   25172.00    3715.00    6259.00    2801.00       1.00   21317.03    3958.00    7223.00    3068.00       0.50
   -10.00    -1.00     318.00    2144.00    4235.00    2424.00       1.00   10398.00    3315.00    6053.00    2792.00       1.00   18028.55    3596.00    6562.00    2889.00       0.50
    -9.00    -1.00     295.00    3153.00    5513.00    2650.00       1.00    9742.00    3270.00    6038.00    2767.00       1.00   18425.07    3572.00    6563.00    2889.00       0.50
    -8.00    -1.00     377.00    2651.00    4686.00    2501.00       1.00    7753.00    3313.00    5838.00    2739.00       1.00   19623.81    3578.00    6023.00    2765.00       0.50
    -7.00    -1.00     454.00    2242.00    4857.00    2531.00       1.00   21666.00    3491.00    5962.00    2776.00       1.00    9775.34    3670.00    6265.00    2827.00       0.50
    -6.00    -1.00     269.00    2072.00    4059.00    2394.00       1.00   13320.00    3367.00    5664.00    2686.00       1.00   20813.07    3604.00    6160.00    2800.00       0.50
    -5.00    -1.00     520.00    1518.00    2945.00    2195.00       1.00   18081.00    3390.00    5695.00    2696.00       1.00   15861.56    3576.00    6297.00    2836.00       0.50
    -4.00    -1.00     509.00    1296.00    2606.00    2128.00       1.00   19091.00    3381.00    5589.00    2750.00       1.00   16719.77    3708.00    6310.00    2833.00       0.50
    -3.00    -1.00    1011.00    2483.00    4245.00    2425.00       1.00   19019.00    3457.00    5736.00    2795.00       1.00   15320.60    3698.00    6603.00    2908.00       0.50
    -2.00    -1.00     938.00    2347.00    4590.00    2485.00       1.00   22103.00    3562.00    5925.00    2815.00       1.00   21983.84    3779.00    6900.00    2984.00       0.50
    -1.00    -1.00    1330.00    2688.00    5225.00    2598.00       1.00   19413.00    3568.00    6095.00    2769.00       1.00   28969.68    3796.00    7129.00    3045.00       0.50
     0.00    -1.00    4295.00    2235.00    4427.00    2453.00       1.00   18105.00    3712.00    6303.00    2812.00       1.00   26274.73    3926.00    7253.00    3082.00       0.50
     1.00    -1.00    3521.00    2344.00    4061.00    2391.00       1.00   17195.00    3713.00    6201.00    2789.00       1.00   26379.22    3892.00    7151.00    3044.00       0.50
     2.00    -1.00    2500.00    2262.00    3845.00    2357.00       1.00   18241.00    3707.00    6275.00    2805.00       1.00   26700.40    3845.00    6985.00    2988.00       0.50
     3.00    -1.00    2497.00    2414.00    5006.00    2558.00       1.00   18060.00    3658.00    6135.00    2775.00       1.00   26221.56    3870.00    7258.00    3082.00       0.50
