      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      MLD  Al_1  Fe_1  Mg_1  Ca_1      LAB  Al_2  Fe_2  Mg_2  Ca_2
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%
-64 70	20.00	1343.49	1327.28	1373.4	0.9695	1.94	8.75	42.72	1.82	112.44	2.32	8.81	42.4	1.91	206.11	3.71	7.26	38.49	3.17
-63 70	20.00	1283.28	1441.25	1388.75	0.978	3.17	8.57	40.4	2.59	102.54	2.28	8.33	40.87	1.61	188.35	3.57	7.31	39.77	3.45
-62 70	20.00	1264.13	1349.62	1363.29	0.9794	2.98	8.58	39.98	2.71	113.22	2.15	8.24	42.62	1.5	202.93	3.58	7.29	40.31	3.48
-61 70	20.00	1238.34	1209.31	1312.96	0.9761	2.99	8.4	40.65	2.34	108.71	1.95	8.17	42.57	1.6	202.52	3.65	7.31	38.38	2.76
-60 70	20.00	1286.59	1230.53	1285.42	0.9816	2.58	8.44	40.69	2.32	108.88	2.13	7.8	42.02	1.78	184.62	3.76	7.34	39.18	3
-59 70	20.00	1391.74	1223.62	1339.85	0.989	2.89	8.24	40.92	2.32	107.59	2.2	7.99	41.72	1.76	171.01	3.72	7.27	37.84	2.97
-99 69.5	20.00	1349.21	1391.92	1548.07	0.9735	1.79	6.98	43.89	1.63	99.58	2.13	7.79	41.96	1.85	202.38	4.41	8.25	38.57	3.68
-98 69.5	20.00	1366.12	1356.93	1498.73	0.985	1.5	6.73	43.94	1.06	104.37	2.01	7.53	43.07	1.77	206.52	4.18	8.67	37.61	3.29
-97 69.5	20.00	1296.5	1354.06	1449.7	0.9876	2.5	7.49	41.05	1.73	111.95	2.15	7.85	42.79	1.6	202.06	4.18	8.05	38.96	3.93
-96 69.5	20.00	1366.42	1373.04	1501.87	0.9741	2.1	7.11	42.97	1.52	110.55	2.18	7.36	41.49	1.64	204.62	4.27	8.05	37.25	3.59
-95 69.5	20.00	1392.5	1443.53	1428.12	0.9742	0.68	7.08	47.04	0.6	104.01	2.21	8.28	41.49	1.65	209.86	4.3	8.37	37.93	3.98
-94 69.5	20.00	1369.34	1393.76	1476.08	0.9718	1	7.16	45.34	0.86	105.23	2.47	7.61	42.15	2.2	210.13	4.24	8.48	38.33	3.66
-93 69.5	20.00	1409.94	1449.83	1507.11	0.9691	1.71	7.54	43.6	1.71	105.46	2.03	7.13	42.18	1.57	208.15	4.21	8.58	37.82	3.2
-92 69.5	20.00	1349.7	1366.67	1460.06	0.9731	0.83	7.13	45.3	0.55	100.16	1.91	7.4	43.02	1.28	211.35	4.37	8.4	36.84	3.62
-91 69.5	20.00	1299.9	1297.96	1531.6	0.9732	0.9	7.86	45.7	0.88	96.55	1.98	8.03	43.54	1.64	210.4	4.37	8.03	38.79	4.07
-90 69.5	20.00	1382.91	1343.94	1459.67	0.9746	1.94	7.87	43.01	1.56	99.46	2.12	7.99	42.61	1.77	218.42	4.32	7.82	38.01	3.4
-89 69.5	20.00	1342.94	1330.57	1480.72	0.9708	1.8	6.98	43.96	1.49	110.8	2.16	7.19	41.49	1.57	222.55	4.17	8.29	38.36	3.36
-88 69.5	20.00	1332.92	1442.35	1507.54	0.9723	1.13	7.98	45.03	0.87	117.59	2.36	7.77	41.38	2.1	258.67	4	7.52	39.58	3.63
-87 69.5	20.00	1474.27	1531.82	1546.64	0.9853	1.59	7.04	43.82	1.55	111.94	2.44	8.14	41.33	2.07	287.57	3.45	7.52	39.92	2.74
-86 69.5	20.00	1429.26	1379.67	1601.05	0.9709	1.23	7.44	45.59	1.08	110.77	2.69	7.49	41.37	2.49	249.08	3.96	8.47	38.19	3.33
-85 69.5	20.00	1351.25	1375.25	1468.97	0.9748	1.32	7.89	44.57	0.89	110.98	2.71	8.03	40.86	2.03	225.74	3.83	7.91	39.36	3.28
-84 69.5	20.00	1372.64	1402.04	1577.67	0.975	1.98	7.78	42.87	1.17	110.84	2.25	8.66	41.29	2.04	230.87	3.81	7.55	39.94	3.21
-83 69.5	20.00	1420.84	1357.32	1495.47	0.9706	1.87	8.01	42.52	1.63	102.96	2.26	7.29	41.03	1.52	241.13	4.36	7.75	36.88	3.58
-82 69.5	20.00	1415.34	1345.66	1447.18	0.9611	1.36	7.1	43.11	1.45	107.73	1.95	8.16	43.86	2.04	228.76	3.84	8.46	39.46	3.67
-81 69.5	20.00	1394.56	1309.93	1425.87	0.9913	0.83	7.87	45.28	0.28	103.78	2.51	7.78	40.64	2.12	228.67	4.28	8.16	37.31	4.23
-80 69.5	20.00	1296.52	1420.29	1545.82	0.9672	0.97	8.06	45.35	0.69	109.07	2.03	8.34	42.7	1.66	215.5	4.36	8.55	37.5	3.33
-79 69.5	20.00	1278.83	1393.72	1503.51	0.9733	1.44	8.03	44.22	1.12	108.37	2.52	8.28	41.38	2.11	225.3	4.26	7.69	37.59	3.24
-78 69.5	20.00	1335.81	1355.23	1578.56	0.992	2.28	8.19	41.78	1.8	117.5	2.01	8.13	42.61	2.13	233.69	3.88	8.12	38.46	3.37
-77 69.5	20.00	1297.32	1318.81	1539.74	0.9711	2.09	7.62	42.58	1.85	112.56	2.26	7.69	42.45	1.8	234.5	4.06	8.4	37.71	3.61
-76 69.5	20.00	1345.12	1327.55	1490.24	0.9658	2.03	7.24	43.04	1.93	108.89	2.47	8.37	40.54	2.31	231.18	4.11	8.55	39.62	3.27
-75 69.5	20.00	1314.92	1286.28	1524.58	0.9672	1.74	7.5	42.9	1.33	105.76	2.66	7.33	41.14	2.06	226.82	4.24	8.28	36.62	3.4
-74 69.5	20.00	1372.46	1401.75	1472.93	0.9717	1.26	6.84	45.74	1.02	111.43	2.84	8.43	40.17	2.62	227.12	4.43	8.23	38.88	3.39
-73 69.5	20.00	1292.89	1355.88	1510.51	0.9728	2.61	7.33	41.55	1.85	113.29	2.2	8.23	41.15	2.24	218.94	4.13	7.76	38.19	3.63
-72 69.5	20.00	1326.83	1426.36	1499.25	0.978	0.86	7.46	45.81	0.44	114.42	2.26	7.84	42.7	2.44	217.34	4.31	8.28	36.97	3.63
-71 69.5	20.00	1321.84	1377.66	1477.17	0.9726	1.77	7.47	43.75	1.61	106.39	2.28	7.83	41.57	2.09	216.69	4.38	7.65	38.31	3.78
-70 69.5	20.00	1302.3	1371.91	1519.38	0.9928	2.52	7.44	42.39	1.98	105.85	1.54	7.49	43.94	1.48	208.3	4.28	8.04	39.09	3.56
-69 69.5	20.00	1269.97	1417.41	1536.35	0.9705	0.74	6.41	45.55	0.66	110.27	1.99	8.06	43.14	1.88	208.67	4.2	8.54	36.83	3.43
