      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      LAB  Al_1  Fe_1  Mg_1  Ca_1
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%
133.5 -17	0.20	1299.97	1427.87	1476.29	0.9763	2.77	8.37	42.05	2.36	203.18	4.14	8.41	37.3	3.34
134 -17	0.20	1298.86	1427.84	1476.17	0.9573	2.76	8.43	42.12	2.45	203.64	4.14	8.32	37.24	3.3
134.5 -17	0.20	1300.89	1428.56	1475.84	0.9628	2.77	8.48	42.13	2.41	203.81	4.13	8.27	37.28	3.3
135 -17	0.20	1300.94	1429	1476.07	0.9667	2.76	8.52	42.09	2.45	203.22	4.05	8.17	37.26	3.24
135.5 -17	0.20	1301.31	1426.9	1476.33	0.9727	2.76	8.63	42.14	2.44	201.33	4.08	8.13	37.22	3.29
136 -17	0.20	1301.92	1425.46	1477.17	0.9617	2.77	8.61	42.11	2.41	199.61	4.18	8.18	37.35	3.32
136.5 -17	0.20	1299.56	1425.02	1477.37	0.9591	2.77	8.59	42.11	2.38	196.26	4.16	8.2	37.38	3.35
137 -17	0.20	1300.55	1424.17	1477.74	0.9676	2.76	8.53	42.11	2.41	192.51	4.18	8.18	37.38	3.36
137.5 -17	0.20	1299.07	1422.48	1477.44	0.957	2.76	8.54	42.06	2.37	188.92	4.16	8.2	37.35	3.38
138 -17	0.20	1299.1	1423.82	1476.1	0.9782	2.77	8.58	42.08	2.44	185.32	4.14	8.2	37.44	3.35
138.5 -17	0.20	1298.37	1423.34	1475.68	0.975	2.75	8.63	42.04	2.48	182.46	4.15	8.22	37.52	3.34
139 -17	0.20	1298.65	1424.39	1475.54	0.9649	2.7	8.64	42.05	2.47	180.05	4.1	8.15	37.58	3.35
139.5 -17	0.20	1298.08	1422.65	1476.18	0.9747	2.7	8.59	42.06	2.4	177.99	4.06	8.13	37.62	3.3
140 -17	0.20	1297.71	1422.87	1476.21	0.9799	2.7	8.61	42.02	2.44	175.3	4.06	8.15	37.66	3.29
140.5 -17	0.20	1298.13	1421.93	1477.38	0.9646	2.73	8.65	41.94	2.41	172.65	4.11	8.21	37.7	3.31
141 -17	0.20	1299.69	1421.56	1476.16	0.9724	2.71	8.64	41.96	2.38	168.82	4.09	8.27	37.7	3.32
141.5 -17	0.20	1299.1	1420.31	1475.33	0.9741	2.7	8.62	41.94	2.37	164.97	4.12	8.28	37.69	3.33
142 -17	0.20	1298.78	1419.55	1474.99	0.9814	2.7	8.58	41.96	2.39	159.85	4.1	8.28	37.71	3.31
142.5 -17	0.20	1299.74	1419.92	1475.29	0.9788	2.69	8.56	41.99	2.35	154.27	4.08	8.27	37.75	3.34
143 -17	0.20	1297.91	1420.01	1475.99	0.9768	2.65	8.56	41.96	2.36	149.17	4.09	8.28	37.76	3.35
127.5 -17.5	0.20	1305.89	1436.24	1484.58	0.9805	2.71	8.25	41.87	2.24	199.85	4.01	8.17	37.5	3.33
128 -17.5	0.20	1304.82	1436.15	1485.09	0.9805	2.68	8.22	41.85	2.23	199.61	3.98	8.16	37.47	3.34
128.5 -17.5	0.20	1303.83	1435.65	1484.12	0.9744	2.76	8.3	41.89	2.27	199.53	4.09	8.31	37.46	3.38
129 -17.5	0.20	1303.81	1434.56	1483.66	0.9759	2.71	8.21	41.9	2.27	199.41	4.08	8.29	37.41	3.38
129.5 -17.5	0.20	1303.62	1434.24	1482.49	0.9777	2.68	8.16	41.9	2.26	198.9	4.06	8.28	37.38	3.34
130 -17.5	0.20	1303.92	1433.7	1483.16	0.975	2.67	8.09	41.97	2.24	198.13	4.05	8.28	37.39	3.32
130.5 -17.5	0.20	1303.65	1433.88	1483.12	0.9717	2.7	8.06	41.97	2.26	198.23	4.05	8.33	37.38	3.34
131 -17.5	0.20	1302.75	1433.27	1482.16	0.9608	2.68	8.07	41.98	2.25	199.12	4.11	8.35	37.34	3.35
131.5 -17.5	0.20	1302.18	1432.56	1481.69	0.9646	2.7	8.1	42.01	2.3	200.24	4.16	8.38	37.33	3.35
132 -17.5	0.20	1301.26	1430.98	1479.73	0.9666	2.67	8.05	42	2.3	201.15	4.11	8.31	37.34	3.32
132.5 -17.5	0.20	1300.51	1430.65	1479.63	0.9772	2.7	8.09	42	2.31	202.55	4.11	8.33	37.35	3.33
133 -17.5	0.20	1300.09	1430.17	1479.71	0.9717	2.77	8.17	42.04	2.34	204.24	4.14	8.38	37.31	3.34
133.5 -17.5	0.20	1300.06	1428.2	1477.37	0.9615	2.77	8.22	42.09	2.36	204.87	4.14	8.35	37.26	3.36
134 -17.5	0.20	1300.23	1428.33	1476.77	0.9656	2.76	8.28	42.16	2.39	205.71	4.13	8.32	37.25	3.29
134.5 -17.5	0.20	1299.91	1427.01	1475.79	0.9605	2.76	8.37	42.16	2.4	205.78	4.1	8.24	37.25	3.28
135 -17.5	0.20	1301.48	1426.33	1476.78	0.9823	2.78	8.48	42.18	2.42	205.51	4.1	8.18	37.32	3.24
135.5 -17.5	0.20	1301.21	1426.27	1477.01	0.9732	2.76	8.55	42.1	2.46	204.38	4.12	8.2	37.32	3.28
136 -17.5	0.20	1300.84	1425.11	1478.23	0.966	2.84	8.68	42.13	2.43	203.25	4.22	8.3	37.27	3.33
136.5 -17.5	0.20	1300.73	1424.61	1477.65	0.9609	2.76	8.54	42.09	2.4	199.79	4.15	8.23	37.38	3.33
137 -17.5	0.20	1299.04	1423.15	1477.17	0.9618	2.75	8.48	42.1	2.37	196.8	4.12	8.17	37.44	3.35
137.5 -17.5	0.20	1298.74	1423.34	1476.62	0.9599	2.83	8.57	42.06	2.42	193.5	4.21	8.25	37.34	3.35
138 -17.5	0.20	1298.2	1421.71	1477.48	0.9608	2.81	8.61	42.06	2.47	190.29	4.19	8.29	37.42	3.42
138.5 -17.5	0.20	1298.81	1423.56	1475.9	0.9776	2.78	8.68	42.04	2.51	186.53	4.19	8.28	37.52	3.36
139 -17.5	0.20	1298.9	1421.41	1475.67	0.9901	2.8	8.71	42.09	2.5	184.67	4.17	8.33	37.52	3.36
139.5 -17.5	0.20	1297.74	1422.31	1476.57	0.9804	2.73	8.6	42.07	2.44	180.78	4.03	8.15	37.61	3.28
140 -17.5	0.20	1298.28	1422.85	1477.26	0.9839	2.7	8.56	42.08	2.43	177.74	3.99	8.09	37.65	3.25
140.5 -17.5	0.20	1299.03	1422.23	1478.37	0.9833	2.7	8.6	42.02	2.45	173.86	4.07	8.16	37.72	3.31
141 -17.5	0.20	1298.88	1422.55	1476.22	0.9837	2.73	8.62	42	2.45	170.3	4.1	8.24	37.71	3.31
141.5 -17.5	0.20	1300.24	1421.38	1476.48	0.9858	2.73	8.64	42.02	2.41	166.12	4.13	8.29	37.72	3.34
142 -17.5	0.20	1298.05	1419.94	1476.33	0.9785	2.72	8.63	42.01	2.39	160.99	4.16	8.34	37.72	3.33
142.5 -17.5	0.20	1298.11	1420.13	1476.7	0.9824	2.68	8.58	41.98	2.39	155.05	4.1	8.28	37.77	3.33
143 -17.5	0.20	1298.32	1419.81	1476.79	0.9763	2.68	8.58	41.96	2.39	149.48	4.11	8.3	37.76	3.35
127.5 -18	0.20	1305.42	1436.43	1484.39	0.9739	2.68	8.21	41.88	2.23	200.98	3.99	8.21	37.52	3.34
